aX,aY,aZ,gX,gY,gZ
-0.319,-1.115,1.070,-4.639,60.425,67.017
-0.317,-1.046,1.029,-7.324,53.772,79.102
-0.301,-0.984,1.031,-13.245,45.471,89.783
-0.295,-0.921,1.050,-16.113,38.635,101.196
-0.303,-0.847,1.061,-13.611,36.743,114.136
-0.306,-0.757,1.043,-5.371,40.588,130.005
-0.302,-0.644,1.011,3.418,46.204,148.499

-0.390,1.171,0.999,-0.244,37.292,186.646
-0.343,1.261,0.934,-3.906,47.668,174.866
-0.314,1.338,0.843,-4.761,55.481,160.950
-0.292,1.399,0.759,-4.944,59.387,143.127
-0.265,1.444,0.689,-5.859,57.312,124.207
-0.247,1.482,0.646,-5.676,50.110,105.591
-0.239,1.512,0.627,-3.540,41.260,87.463
-0.236,1.542,0.628,1.587,32.104,71.777
-0.251,1.580,0.637,5.981,24.475,59.387
-0.271,1.627,0.650,9.766,19.775,49.011
-0.291,1.681,0.654,10.986,18.860,38.818
-0.310,1.739,0.647,13.916,20.020,26.978
-0.329,1.787,0.632,17.273,22.095,11.658
-0.358,1.803,0.600,19.104,23.499,-8.057
-0.369,1.786,0.569,13.672,23.193,-34.119
-0.379,1.731,0.529,4.578,20.752,-66.345
-0.394,1.622,0.500,-3.113,14.526,-100.586
-0.407,1.484,0.492,-12.085,6.042,-132.629
-0.415,1.329,0.498,-20.020,-3.357,-160.461
-0.413,1.167,0.520,-27.039,-13.977,-184.753
-0.420,1.003,0.557,-31.189,-25.085,-207.336
-0.431,0.841,0.597,-27.283,-34.241,-227.112
-0.447,0.663,0.608,-13.306,-39.917,-242.676
-0.485,0.483,0.625,-7.080,-45.105,-255.615
-0.474,0.280,0.644,-8.179,-53.284,-269.592
-0.504,0.073,0.698,-15.137,-66.833,-282.104
-0.519,-0.128,0.792,-24.597,-85.571,-286.499
-0.533,-0.308,0.928,-26.001,-106.995,-280.640
-0.533,-0.450,1.095,-22.461,-126.160,-264.465
-0.550,-0.544,1.280,-17.944,-138.306,-241.882
-0.544,-0.598,1.451,-14.526,-139.526,-216.187
-0.531,-0.634,1.578,-13.855,-129.150,-191.895
-0.521,-0.669,1.659,-19.409,-111.023,-173.828
-0.496,-0.716,1.700,-26.855,-88.867,-163.086
-0.452,-0.788,1.688,-29.114,-64.453,-156.494
